Tournament_Members,Player1,Player2,Player3,Avg_Norm_Score,Avg_Norm_Cooperation_Rate,Avg_Good_Partner_Rate,Avg_Eigenmoses_Rate,Avg_Eigenjesus_Rate,Avg_Norm_CC_Distribution
"Cooperator Def,Curious Defector,Win-Shift Lose-Stay Coop",Cooperator Def,Curious Defector,Win-Shift Lose-Stay Coop,2.1388888888888893,0.3812169312169312,0.6666666666666666,0.2869981632916155,0.5078866036124287,0.19444444444444445
"Cooperator Def,Curious Defector,Win-Stay Lose-Shift",Cooperator Def,Curious Defector,Win-Stay Lose-Shift,2.3055555555555554,0.4867724867724868,0.5,-0.15127050668261485,0.5145834146226566,0.027777777777777776
"Cooperator Def,Curious Defector,Win-Stay Lose-Shift Defect",Cooperator Def,Curious Defector,Win-Stay Lose-Shift Defect,2.333333333333333,0.5460317460317461,0.6666666666666666,0.27949424045352794,0.509700999390917,0.2916666666666667
"Cooperator Def,Cycler DC,Cycler DC",Cooperator Def,Cycler DC,Cycler DC,2.3125,0.5853174603174602,0.6666666666666666,0.3333637643118794,0.5655188498100768,0.5
"Cooperator Def,Cycler DC,Defector",Cooperator Def,Cycler DC,Defector,2.1458333333333335,0.41865079365079366,0.5,0.3603416703607228,0.4641946215675834,0.16666666666666666
"Cooperator Def,Cycler DC,Fourteen Coop",Cooperator Def,Cycler DC,Fourteen Coop,2.6875,0.751984126984127,0.5,0.45686845156360073,0.556966912240644,0.625
"Cooperator Def,Cycler DC,Fourteen Defect",Cooperator Def,Cycler DC,Fourteen Defect,2.548611111111111,0.5945767195767195,0.5,0.15730211676877862,0.567403673365788,0.5555555555555557
"Cooperator Def,Cycler DC,Seven Coop",Cooperator Def,Cycler DC,Seven Coop,2.4166666666666665,0.6084656084656085,0.5,0.4327422221607247,0.5682329127115272,0.5
"Cooperator Def,Cycler DC,Seven Defect",Cooperator Def,Cycler DC,Seven Defect,2.3125,0.5853174603174602,0.6666666666666666,0.3333637643118794,0.5655188498100768,0.5
"Cooperator Def,Cycler DC,Stubborn Coop",Cooperator Def,Cycler DC,Stubborn Coop,2.25,0.5529100529100529,0.5,0.4619764880215664,0.5398298340682962,0.16666666666666666
"Cooperator Def,Cycler DC,Stubborn Def",Cooperator Def,Cycler DC,Stubborn Def,2.1458333333333335,0.41865079365079366,0.5,0.3603416703607228,0.4641946215675834,0.16666666666666666
"Cooperator Def,Cycler DC,Suspicious Tit For Tat",Cooperator Def,Cycler DC,Suspicious Tit For Tat,2.4791666666666665,0.5482804232804233,0.5,0.15730211676877862,0.5625775771163238,0.4166666666666667
"Cooperator Def,Cycler DC,Sucker Coop",Cooperator Def,Cycler DC,Sucker Coop,2.284722222222222,0.4705026455026455,0.5,-0.019857917665025166,0.5240243986783347,0.23611111111111113
"Cooperator Def,Cycler DC,Sucker Defect",Cooperator Def,Cycler DC,Sucker Defect,2.1458333333333335,0.41865079365079366,0.5,0.3603416703607228,0.4641946215675834,0.16666666666666666
"Cooperator Def,Cycler DC,Thirteen Coop",Cooperator Def,Cycler DC,Thirteen Coop,2.6875,0.751984126984127,0.5,0.45686845156360073,0.556966912240644,0.625
