,SYS New CC Dist AVG,SYS New CC Dist MIN,SYS CC Fraction AVG,SYS CC Fraction MIN
0,0.5022491909385105,0.5022491909385105,0.4693939393939391,0.4693939393939391
1,0.49938511326860835,0.49938511326860835,0.4719696969696966,0.4719696969696966
2,0.49969255663430395,0.49969255663430395,0.46227272727272684,0.46227272727272684
3,0.5034789644012946,0.5034789644012946,0.4462121212121206,0.4462121212121206
4,0.5048543689320386,0.5048543689320386,0.43893939393939335,0.43893939393939335
5,0.5018284789644014,0.5018284789644014,0.39545454545454534,0.39545454545454534
6,0.5016666666666666,0.5016666666666666,0.38393939393939397,0.38393939393939397
7,0.4986893203883491,0.4986893203883491,0.37742424242424205,0.37742424242424205
8,0.49752427184466,0.49752427184466,0.3527272727272726,0.3527272727272726
9,0.49006472491909375,0.49006472491909375,0.31818181818181746,0.31818181818181746
