,SYS New CC Dist AVG,SYS New CC Dist MIN,SYS CC Fraction AVG,SYS CC Fraction MIN
0,80.83612040133781,80.83612040133781,82.7857142857143,82.7857142857143
1,80.34782608695652,80.34782608695652,81.71428571428574,81.71428571428574
2,80.25752508361202,80.25752508361202,82.42857142857144,82.42857142857144
3,80.24749163879599,80.24749163879599,81.92857142857142,81.92857142857142
4,79.24749163879599,79.24749163879599,79.49999999999997,79.49999999999997
5,80.04682274247493,80.04682274247493,78.03571428571428,78.03571428571428
6,80.17391304347825,80.17391304347825,79.03571428571429,79.03571428571429
7,78.45150501672246,78.45150501672246,76.57142857142857,76.57142857142857
8,80.85284280936456,80.85284280936456,77.46428571428568,77.46428571428568
9,79.58528428093648,79.58528428093648,75.0,75.0
