,SYS New CC Dist AVG,SYS New CC Dist MIN,SYS CC Fraction AVG,SYS CC Fraction MIN
0,0.5302230483271378,0.5302230483271378,0.5379999999999996,0.5379999999999996
1,0.5315241635687733,0.5315241635687733,0.5414545454545449,0.5414545454545449
2,0.5266171003717472,0.5266171003717472,0.5341818181818176,0.5341818181818176
3,0.5241635687732341,0.5241635687732341,0.5029090909090911,0.5029090909090911
4,0.5303159851301115,0.5303159851301115,0.4959999999999999,0.4959999999999999
5,0.5294423791821564,0.5294423791821564,0.45418181818181835,0.45418181818181835
6,0.5373420074349444,0.5373420074349444,0.4461818181818185,0.4461818181818185
7,0.5284944237918218,0.5284944237918218,0.442545454545455,0.442545454545455
8,0.5286988847583646,0.5286988847583646,0.4154545454545457,0.4154545454545457
9,0.5286059479553907,0.5286059479553907,0.3818181818181825,0.3818181818181825
