,SYS New CC Dist AVG,SYS New CC Dist MIN,SYS CC Fraction AVG,SYS CC Fraction MIN
0,0.31967272727272694,0.31967272727272694,0.3648351648351645,0.3648351648351645
1,0.321272727272727,0.321272727272727,0.36505494505494474,0.36505494505494474
2,0.3205575757575755,0.3205575757575755,0.35494505494505435,0.35494505494505435
3,0.32070303030303005,0.32070303030303005,0.33153846153846106,0.33153846153846106
4,0.3204363636363633,0.3204363636363633,0.3246153846153842,0.3246153846153842
5,0.32049696969696934,0.32049696969696934,0.27956043956043936,0.27956043956043936
6,0.3184606060606057,0.3184606060606057,0.2693406593406592,0.2693406593406592
7,0.32013333333333305,0.32013333333333305,0.2616483516483513,0.2616483516483513
8,0.3206787878787876,0.3206787878787876,0.23450549450549407,0.23450549450549407
9,0.3199999999999997,0.3199999999999997,0.23076923076923028,0.23076923076923028
